dbo_ecnDatapointType.Address;DataPointTypeId;Id;CompanyId;EnumType;Name;dbo_ecnEventType.Address;Conversion;Description;Priority;Filtercriterion;Reportingcriterion;Type;URL;DefaultValue;ObjectId
Vitocom200_LAN_GP;351;9108;24;-1;@@viessmann.eventtype.name.EM3_ModuleAvailable;EM3_ModuleAvailable;NoConversion;@@viessmann.eventtype.EM3_ModuleAvailable.description;50;-1;-1;1;;;-1
Vitocom200_LAN_GP;351;9109;24;-1;@@viessmann.eventtype.name.IO_GM_DE1_Value;IO_GM_DE1_Value;NoConversion;@@viessmann.eventtype.IO_GM_DE1_Value.description;50;-1;-1;3;~/Service/VComIODEDisplayDefinitionConfiguration.aspx;;-1
Vitocom200_LAN_GP;351;9110;24;-1;@@viessmann.eventtype.name.IO_GM_DE2_Value;IO_GM_DE2_Value;NoConversion;@@viessmann.eventtype.IO_GM_DE2_Value.description;50;-1;-1;3;~/Service/VComIODEDisplayDefinitionConfiguration.aspx;;-1
Vitocom200_LAN_GP;351;9174;24;0;@@viessmann.eventtype.name.JsonGeneral_ChannelTimeout;JsonGeneral_ChannelTimeout;NoConversion;@@viessmann.eventtype.JsonGeneral_ChannelTimeout.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9175;24;0;@@viessmann.eventtype.name.JsonGeneral_TransferTimeout;JsonGeneral_TransferTimeout;NoConversion;@@viessmann.eventtype.JsonGeneral_TransferTimeout.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9176;24;-1;@@viessmann.eventtype.name.JsonGeneral_PowerReturn;JsonGeneral_PowerReturn;NoConversion;@@viessmann.eventtype.JsonGeneral_PowerReturn.description;50;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9177;24;-1;@@viessmann.eventtype.name.JsonGeneral_Timezone;JsonGeneral_Timezone;NoConversion;@@viessmann.eventtype.JsonGeneral_Timezone.description;50;-1;-1;1;;;-1
Vitocom200_LAN_GP;351;9178;24;-1;@@viessmann.eventtype.name.JsonGeneral_Country;JsonGeneral_Country;NoConversion;@@viessmann.eventtype.JsonGeneral_Country.description;50;-1;-1;1;;;-1
Vitocom200_LAN_GP;351;9179;24;0;@@viessmann.eventtype.name.JsonGeneral_Hostname;JsonGeneral_Hostname;NoConversion;@@viessmann.eventtype.JsonGeneral_Hostname.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9180;24;-1;@@viessmann.eventtype.name.JsonGeneral_BootProtocol;JsonGeneral_BootProtocol;NoConversion;@@viessmann.eventtype.JsonGeneral_BootProtocol.description;50;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9181;24;0;@@viessmann.eventtype.name.JsonGeneral_StaticIpAddr;JsonGeneral_StaticIpAddr;NoConversion;@@viessmann.eventtype.JsonGeneral_StaticIpAddr.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9182;24;0;@@viessmann.eventtype.name.JsonGeneral_StaticIpMask;JsonGeneral_StaticIpMask;NoConversion;@@viessmann.eventtype.JsonGeneral_StaticIpMask.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9183;24;0;@@viessmann.eventtype.name.JsonGeneral_StaticGateway;JsonGeneral_StaticGateway;NoConversion;@@viessmann.eventtype.JsonGeneral_StaticGateway.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9184;24;0;@@viessmann.eventtype.name.JsonGeneral_StaticDnsSrv1;JsonGeneral_StaticDnsSrv1;NoConversion;@@viessmann.eventtype.JsonGeneral_StaticDnsSrv1.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9185;24;0;@@viessmann.eventtype.name.JsonGeneral_StaticDnsSrv2;JsonGeneral_StaticDnsSrv2;NoConversion;@@viessmann.eventtype.JsonGeneral_StaticDnsSrv2.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9186;24;0;@@viessmann.eventtype.name.JsonGeneral_ProxyServer;JsonGeneral_ProxyServer;NoConversion;@@viessmann.eventtype.JsonGeneral_ProxyServer.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9187;24;-1;@@viessmann.eventtype.name.JsonGeneral_UseProxy;JsonGeneral_UseProxy;NoConversion;@@viessmann.eventtype.JsonGeneral_UseProxy.description;50;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;9210;24;-1;@@viessmann.eventtype.name.RPCSetDigitalOutput_IO_VC_DA1;RPCSetDigitalOutput_IO_VC_DA1~0xA08C;NoConversion;@@viessmann.eventtype.RPCSetDigitalOutput_IO_VC_DA1.description;50;-1;-1;3;~/Service/VComIODADisplayDefinitionConfiguration.aspx;;-1
