dbo_ecnDatapointType.Address;DataPointTypeId;Id;CompanyId;EnumType;Name;dbo_ecnEventType.Address;Conversion;Description;Priority;Filtercriterion;Reportingcriterion;Type;URL;DefaultValue;ObjectId
VCaldens;415;1;24;-1;ecnStatusEventType;ecnStatusEventType;NoConversion;;50;-1;-1;1;;;-1
VCaldens;415;98;24;0;@@viessmann.eventtype.name.BetriebsstundenBrenner1;BetriebsstundenBrenner1~0x0886;Sec2Hour;@@viessmann.eventtype.BetriebsstundenBrenner1.description;100;-1;-1;1;;;-1
VCaldens;415;111;24;0;@@viessmann.eventtype.name.BrennerstartsGWG;BrennerstartsGWG~0x088A;NoConversion;@@viessmann.eventtype.BrennerstartsGWG.description;100;-1;-1;3;;;-1
VCaldens;415;600;24;-1;@@viessmann.eventtype.name.GWG_Flamme;GWG_Flamme~0x55D3;NoConversion;@@viessmann.eventtype.GWG_Flamme.description;50;-1;-1;1;;;-1
VCaldens;415;5374;24;0;@@viessmann.eventtype.name.TiefpassTemperaturwert_KTS;TiefpassTemperaturwert_KTS~0x0810;Div10;@@viessmann.eventtype.TiefpassTemperaturwert_KTS.description;100;-1;-1;1;;;-1
VCaldens;415;7608;24;0;ecnsysEventType~ErrorNotification;ecnsysEventType~ErrorNotification;NoConversion;;100;-1;-1;1;;;-1
VCaldens;415;7183;24;0;ecnsysEventType~Error;ecnsysEventType~Error;NoConversion;;100;-1;-1;1;;;-1
VCaldens;415;7184;24;0;ecnsysEventType~ErrorIndex;ecnsysEventType~ErrorIndex;NoConversion;;100;-1;-1;1;;;-1
VCaldens;415;12646;24;0;@@viessmann.eventtype.name.DatabaseVersionForExport;DatabaseVersionForExport;NoConversion;@@viessmann.eventtype.DatabaseVersionForExport.description;100;-1;-1;1;;1.0.0;-1
