dbo_ecnDatapointType.Address;DataPointTypeId;Id;CompanyId;EnumType;Name;dbo_ecnEventType.Address;Conversion;Description;Priority;Filtercriterion;Reportingcriterion;Type;URL;DefaultValue;ObjectId
VBC700_AW;266;7046;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Heissgastemp_Grenzwert;WPR_Verdichter1_Heissgastemp_Grenzwert~0x5021;Div10;@@viessmann.eventtype.WPR_Verdichter1_Heissgastemp_Grenzwert.description;100;-1;-1;3;;130;-1
VBC700_AW;266;7047;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Hochdruck_Grenzwert_Absolutdruck;WPR_Verdichter1_Hochdruck_Grenzwert_Absolutdruck~0x5022;Div10;@@viessmann.eventtype.WPR_Verdichter1_Hochdruck_Grenzwert_Absolutdruck.description;100;-1;-1;3;;26;-1
VBC700_AW;266;7049;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_hysterese_t_primaer_ein_AW;WPR_Verdichter1_hysterese_t_primaer_ein_AW~0x5004;Div10;@@viessmann.eventtype.WPR_Verdichter1_hysterese_t_primaer_ein_AW.description;100;-1;-1;3;;1;-1
VBC700_AW;266;7050;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_laufzeit_wp;WPR_Verdichter1_laufzeit_wp~0x5005;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_laufzeit_wp.description;100;-1;-1;3;;120;-1
VBC700_AW;266;7051;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_LeistungVerd;WPR_Verdichter1_LeistungVerd~0x5030;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_LeistungVerd.description;100;-1;-1;3;;6;-1
VBC700_AW;266;7052;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_max_t_primaer_ein_wp;WPR_Verdichter1_max_t_primaer_ein_wp~0x5015;Div10;@@viessmann.eventtype.WPR_Verdichter1_max_t_primaer_ein_wp.description;100;-1;-1;3;;35;-1
VBC700_AW;266;7054;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_max_Thub_WP_AW;WPR_Verdichter1_max_Thub_WP_AW~0x5011;Div10;@@viessmann.eventtype.WPR_Verdichter1_max_Thub_WP_AW.description;100;-1;-1;3;;65;-1
VBC700_AW;266;7055;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_maxPause_Abtaustart;WPR_Verdichter1_maxPause_Abtaustart~0x500C;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_maxPause_Abtaustart.description;100;-1;-1;3;;0;-1
VBC700_AW;266;7057;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_min_t_primaer_ein_wp_AW;WPR_Verdichter1_min_t_primaer_ein_wp_AW~0x5016;Div10;@@viessmann.eventtype.WPR_Verdichter1_min_t_primaer_ein_wp_AW.description;100;-1;-1;3;;-20;-1
VBC700_AW;266;7058;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_MOP_Grenzwert;WPR_Verdichter1_MOP_Grenzwert~0x501A;Div10;@@viessmann.eventtype.WPR_Verdichter1_MOP_Grenzwert.description;100;-1;-1;3;;6,6;-1
VBC700_AW;266;7060;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Niederdruck_Grenzwert_AW;WPR_Verdichter1_Niederdruck_Grenzwert_AW~0x5025;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_Niederdruck_Grenzwert_AW.description;100;-1;-1;3;;19;-1
VBC700_AW;266;7061;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Niederdruck_Hysterese;WPR_Verdichter1_Niederdruck_Hysterese~0x5026;Div10;@@viessmann.eventtype.WPR_Verdichter1_Niederdruck_Hysterese.description;100;-1;-1;3;;1,5;-1
VBC700_AW;266;7062;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Niederdruck_Verzoegerungszeit_Verdichteranlauf;WPR_Verdichter1_Niederdruck_Verzoegerungszeit_Verdichteranlauf~0x5027;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_Niederdruck_Verzoegerungszeit_Verdichteranlauf.description;100;-1;-1;3;;10;-1
VBC700_AW;266;7063;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Oeffnungsstellung_EEV_Ventil_Startphase;WPR_Verdichter1_Oeffnungsstellung_EEV_Ventil_Startphase~0x501F;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_Oeffnungsstellung_EEV_Ventil_Startphase.description;100;-1;-1;3;;50;-1
VBC700_AW;266;7065;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_optimaleLaufzeit_WP_AW;WPR_Verdichter1_optimaleLaufzeit_WP_AW~0x500A;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_optimaleLaufzeit_WP_AW.description;100;-1;-1;3;;20;-1
VBC700_AW;266;7066;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_PWMZykluszeit_Digital_Scroll;WPR_Verdichter1_PWMZykluszeit_Digital_Scroll~0x501E;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_PWMZykluszeit_Digital_Scroll.description;100;-1;-1;3;;20;-1
VBC700_AW;266;7069;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_sperre_abtauung_wp;WPR_Verdichter1_sperre_abtauung_wp~0x500D;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_sperre_abtauung_wp.description;100;-1;-1;3;;90;-1
VBC700_AW;266;7070;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Startoeffnungsdauer;WPR_Verdichter1_Startoeffnungsdauer~0x5020;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_Startoeffnungsdauer.description;100;-1;-1;3;;5;-1
VBC700_AW;266;7071;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_t_ruecklauf_min_wp;WPR_Verdichter1_t_ruecklauf_min_wp~0x5002;Div10;@@viessmann.eventtype.WPR_Verdichter1_t_ruecklauf_min_wp.description;100;-1;-1;3;;5;-1
VBC700_AW;266;7072;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_t_vorlauf_max_wp;WPR_Verdichter1_t_vorlauf_max_wp~0x5001;Div10;@@viessmann.eventtype.WPR_Verdichter1_t_vorlauf_max_wp.description;100;-1;-1;3;;60;-1
VBC700_AW;266;7073;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Temp_Abtaubeginn;WPR_Verdichter1_Temp_Abtaubeginn~0x500F;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_Temp_Abtaubeginn.description;100;-1;-1;3;;0;-1
VBC700_AW;266;7074;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Temp_Abtauende;WPR_Verdichter1_Temp_Abtauende~0x5010;Div10;@@viessmann.eventtype.WPR_Verdichter1_Temp_Abtauende.description;100;-1;-1;3;;10;-1
VBC700_AW;266;7076;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_totzeit_wp;WPR_Verdichter1_totzeit_wp~0x5006;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_totzeit_wp.description;100;-1;-1;3;;600;-1
VBC700_AW;266;7077;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Ueberhitzungssollwert;WPR_Verdichter1_Ueberhitzungssollwert~0x5019;Div10;@@viessmann.eventtype.WPR_Verdichter1_Ueberhitzungssollwert.description;100;-1;-1;3;;3;-1
VBC700_AW;266;7079;24;0;@@viessmann.eventtype.name.WPR_Verdichter1_Ueberhitzungstemp_Grenzwert_AW;WPR_Verdichter1_Ueberhitzungstemp_Grenzwert_AW~0x5024;Div10;@@viessmann.eventtype.WPR_Verdichter1_Ueberhitzungstemp_Grenzwert_AW.description;100;-1;-1;3;;30;-1
VBC700_AW;266;7080;24;-1;@@viessmann.eventtype.name.WPR_Verdichter1_Verdichter_auf_WW;WPR_Verdichter1_Verdichter_auf_WW~0x5012;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_Verdichter_auf_WW.description;50;-1;-1;3;;1;-1
VBC700_AW;266;7081;24;-1;@@viessmann.eventtype.name.WPR_Verdichter1_Verdichter_DigitalScroll;WPR_Verdichter1_Verdichter_DigitalScroll~0x5029;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_Verdichter_DigitalScroll.description;50;-1;-1;3;;0;-1
VBC700_AW;266;7082;24;-1;@@viessmann.eventtype.name.WPR_Verdichter1_VerdStufeFreigegeben;WPR_Verdichter1_VerdStufeFreigegeben~0x5000;NoConversion;@@viessmann.eventtype.WPR_Verdichter1_VerdStufeFreigegeben.description;50;-1;-1;3;;;-1
VBC700_AW;266;7083;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_abtauzeit_wp;WPR_Verdichter2_abtauzeit_wp~0x510B;NoConversion;@@viessmann.eventtype.WPR_Verdichter2_abtauzeit_wp.description;100;-1;-1;3;;1800;-1
VBC700_AW;266;7084;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_Alarm_Hochdruck_Totband;WPR_Verdichter2_Alarm_Hochdruck_Totband~0x5123;NoConversion;@@viessmann.eventtype.WPR_Verdichter2_Alarm_Hochdruck_Totband.description;100;-1;-1;3;;50;-1
VBC700_AW;266;7085;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_anlaufverzoegerung;WPR_Verdichter2_anlaufverzoegerung~0x5108;NoConversion;@@viessmann.eventtype.WPR_Verdichter2_anlaufverzoegerung.description;100;-1;-1;3;;120;-1
VBC700_AW;266;7086;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_differenz_verdampfer_wp;WPR_Verdichter2_differenz_verdampfer_wp~0x510E;NoConversion;@@viessmann.eventtype.WPR_Verdichter2_differenz_verdampfer_wp.description;100;-1;-1;3;;3;-1
VBC700_AW;266;7087;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_Heissgastemp_Grenzwert;WPR_Verdichter2_Heissgastemp_Grenzwert~0x5121;Div10;@@viessmann.eventtype.WPR_Verdichter2_Heissgastemp_Grenzwert.description;100;-1;-1;3;;1300;-1
VBC700_AW;266;7088;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_Hochdruck_Grenzwert_Absolutdruck;WPR_Verdichter2_Hochdruck_Grenzwert_Absolutdruck~0x5122;Div10;@@viessmann.eventtype.WPR_Verdichter2_Hochdruck_Grenzwert_Absolutdruck.description;100;-1;-1;3;;260;-1
VBC700_AW;266;7089;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_hysterese_t_primaer_ein;WPR_Verdichter2_hysterese_t_primaer_ein~0x5104;Div10;@@viessmann.eventtype.WPR_Verdichter2_hysterese_t_primaer_ein.description;100;-1;-1;3;;5;-1
VBC700_AW;266;7090;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_laufzeit_wp;WPR_Verdichter2_laufzeit_wp~0x5105;NoConversion;@@viessmann.eventtype.WPR_Verdichter2_laufzeit_wp.description;100;-1;-1;3;;120;-1
VBC700_AW;266;7091;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_LeistungVerd;WPR_Verdichter2_LeistungVerd~0x5130;NoConversion;@@viessmann.eventtype.WPR_Verdichter2_LeistungVerd.description;100;-1;-1;3;;6;-1
VBC700_AW;266;7092;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_max_t_primaer_ein_wp;WPR_Verdichter2_max_t_primaer_ein_wp~0x5115;Div10;@@viessmann.eventtype.WPR_Verdichter2_max_t_primaer_ein_wp.description;100;-1;-1;3;;350;-1
VBC700_AW;266;7093;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_max_Thub_WP;WPR_Verdichter2_max_Thub_WP~0x5111;Div10;@@viessmann.eventtype.WPR_Verdichter2_max_Thub_WP.description;100;-1;-1;3;;80;-1
VBC700_AW;266;7094;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_maxPause_Abtaustart;WPR_Verdichter2_maxPause_Abtaustart~0x510C;NoConversion;@@viessmann.eventtype.WPR_Verdichter2_maxPause_Abtaustart.description;100;-1;-1;3;;0;-1
VBC700_AW;266;7095;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_min_t_primaer_ein_wp;WPR_Verdichter2_min_t_primaer_ein_wp~0x5116;Div10;@@viessmann.eventtype.WPR_Verdichter2_min_t_primaer_ein_wp.description;100;-1;-1;3;;-150;-1
VBC700_AW;266;7096;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_MOP_Grenzwert;WPR_Verdichter2_MOP_Grenzwert~0x511A;Div10;@@viessmann.eventtype.WPR_Verdichter2_MOP_Grenzwert.description;100;-1;-1;3;;60;-1
VBC700_AW;266;7097;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_Niederdruck_Grenzwert;WPR_Verdichter2_Niederdruck_Grenzwert~0x5125;Div10;@@viessmann.eventtype.WPR_Verdichter2_Niederdruck_Grenzwert.description;100;-1;-1;3;;22;-1
VBC700_AW;266;7098;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_Niederdruck_Hysterese;WPR_Verdichter2_Niederdruck_Hysterese~0x5126;Div10;@@viessmann.eventtype.WPR_Verdichter2_Niederdruck_Hysterese.description;100;-1;-1;3;;7;-1
VBC700_AW;266;7099;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_Niederdruck_Verzoegerungszeit_Verdichteranlauf;WPR_Verdichter2_Niederdruck_Verzoegerungszeit_Verdichteranlauf~0x5127;NoConversion;@@viessmann.eventtype.WPR_Verdichter2_Niederdruck_Verzoegerungszeit_Verdichteranlauf.description;100;-1;-1;3;;10;-1
VBC700_AW;266;7100;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_Oeffnungsstellung_EEV_Ventil_Startphase;WPR_Verdichter2_Oeffnungsstellung_EEV_Ventil_Startphase~0x511F;NoConversion;@@viessmann.eventtype.WPR_Verdichter2_Oeffnungsstellung_EEV_Ventil_Startphase.description;100;-1;-1;3;;50;-1
VBC700_AW;266;7101;24;0;@@viessmann.eventtype.name.WPR_Verdichter2_optimaleLaufzeit_WP;WPR_Verdichter2_optimaleLaufzeit_WP~0x510A;NoConversion;@@viessmann.eventtype.WPR_Verdichter2_optimaleLaufzeit_WP.description;100;-1;-1;3;;120;-1
