Id;Name;Parameter;Address;Type
428;GWG73: Anfahroptimierung modulierender Brenner;;GWG_Codierstecker_BROpt~0x1070;1
429;GWG75: Mindestdrehzahl Interne Pumpe;;GWG_Codierstecker_DrehzMin~0x1070;1
430;GWG60: Einschaltdifferenz;;GWG_Codierstecker_EinDiff~0x1060;1
431;GWG50: Gerätetyp;;GWG_Codierstecker_Geraetetyp~0x1050;1
432;GWG80: DLH Ausschaltdifferenz Start-Stop Bedingung;;GWG_Codierstecker_GWG80~0x1080;1
433;GWG81: DLH Einschaltdifferenz Start-Stop Bedingung;;GWG_Codierstecker_GWG81~0x1080;1
434;GWG82: DLH Nachlaufzeit;;GWG_Codierstecker_GWG82~0x1080;1
435;GWG83: DLH maximale Anstiegszeit;;GWG_Codierstecker_GWG83~0x1080;1
436;GWG84: DLH Reglerverstärkung;;GWG_Codierstecker_GWG84~0x1080;1
437;GWG85: DLH Reglervorhaltezeit;;GWG_Codierstecker_GWG85~0x1080;1
438;GWG86: DLH Reglernachstellzeit;;GWG_Codierstecker_GWG86~0x1080;1
439;GWG87: DLH Ausschaltdifferenz;;GWG_Codierstecker_GWG87~0x1080;1
440;GWG88: Zirkulationspumpe bei Speicherladung;;GWG_Codierstecker_GWG88~0x1080;1
441;GWG91: Modulationsgrad bei 10% Leistung;;GWG_Codierstecker_GWG91~0x1090;1
442;GWG92: Modulationsgrad bei 20% Leistung;;GWG_Codierstecker_GWG92~0x1090;1
443;GWG93: Modulationsgrad bei 30% Leistung;;GWG_Codierstecker_GWG93~0x1090;1
444;GWG94: Modulationsgrad bei 40% Leistung;;GWG_Codierstecker_GWG94~0x1090;1
445;GWG95: Modulationsgrad bei 50% Leistung;;GWG_Codierstecker_GWG95~0x1090;1
446;GWG96: Modulationsgrad bei 60% Leistung;;GWG_Codierstecker_GWG96~0x1090;1
447;GWG97: Modulationsgrad bei 70% Leistung;;GWG_Codierstecker_GWG97~0x1090;1
448;GWG98: Modulationsgrad bei 80% Leistung;;GWG_Codierstecker_GWG98~0x1090;1
449;GWG99: Modulationsgrad bei 90% Leistung;;GWG_Codierstecker_GWG99~0x1090;1
450;GWG9A: Modulationsgrad bei 100% Leistung;;GWG_Codierstecker_GWG9A~0x1090;1
451;GWGA0: Viessmann UV Schrittzahl Verstellweg x1;;GWG_Codierstecker_GWGA0~0x10A0;1
452;GWGA1: Viessmann UV Frequenz Verstellweg x1;;GWG_Codierstecker_GWGA1~0x10A0;1
453;GWGA2: Viessmann UV Schrittzahl Verstellweg x2;;GWG_Codierstecker_GWGA2~0x10A0;1
454;GWGA3: Viessmann UV Frequenz Verstellweg x2;;GWG_Codierstecker_GWGA3~0x10A0;1
455;GWGA4: Viessmann UV Schrittzahl Verstellweg x3;;GWG_Codierstecker_GWGA4~0x10A0;1
456;GWGA5: Viessmann UV Frequenz Verstellweg x3;;GWG_Codierstecker_GWGA5~0x10A0;1
457;GWGA6: Viessmann UV Schrittzahl Verstellweg x4;;GWG_Codierstecker_GWGA6~0x10A0;1
458;GWGA7: Viessmann UV Frequenz Verstellweg x4;;GWG_Codierstecker_GWGA7~0x10A0;1
459;GWGA8: Viessmann UV Schrittzahl Verstellweg x5;;GWG_Codierstecker_GWGA8~0x10A0;1
460;GWGA9: Viessmann UV Frequenz Verstellweg x5;;GWG_Codierstecker_GWGA9~0x10A0;1
461;GWGAA: Viessmann UV Position Heizen;;GWG_Codierstecker_GWGAA~0x10A0;1
462;GWG_B0: Wilo UV Schrittzahl Verstellweg x1;;GWG_Codierstecker_GWGB0~0x10B0;1
463;GWGB1: Wilo UV Frequenz Verstellweg x1;;GWG_Codierstecker_GWGB1~0x10B0;1
464;GWGB2: Wilo UV Schrittzahl Verstellweg x2;;GWG_Codierstecker_GWGB2~0x10B0;1
465;GWGB3: Wilo UV Frequenz Verstellweg x2;;GWG_Codierstecker_GWGB3~0x10B0;1
466;GWGB4: Wilo UV Schrittzahl Verstellweg x3;;GWG_Codierstecker_GWGB4~0x10B0;1
467;GWGB5: Wilo UV Frequenz Verstellweg x3;;GWG_Codierstecker_GWGB5~0x10B0;1
468;GWGB6: Wilo UV Schrittzahl Verstellweg x4;;GWG_Codierstecker_GWGB6~0x10B0;1
469;GWGB7: Wilo UV Frequenz Verstellweg x4;;GWG_Codierstecker_GWGB7~0x10B0;1
470;GWGB8: Wilo UV Schrittzahl Verstellweg x5;;GWG_Codierstecker_GWGB8~0x10B0;1
471;GWGB9: Wilo UV Frequenz Verstellweg x5;;GWG_Codierstecker_GWGB9~0x10B0;1
472;GWGBA: Wilo UV Position Heizen;;GWG_Codierstecker_GWGBA~0x10B0;1
473;GWGC0: Grundfos UV Schrittzahl Verstellweg x1;;GWG_Codierstecker_GWGC0~0x10C0;1
474;GWGC1: Grundfos UV Frequenz Verstellweg x1;;GWG_Codierstecker_GWGC1~0x10C0;1
475;GWGC2: Grundfos UV Schrittzahl Verstellweg x2;;GWG_Codierstecker_GWGC2~0x10C0;1
476;GWGC3: Grundfos UV Frequenz Verstellweg x2;;GWG_Codierstecker_GWGC3~0x10C0;1
477;GWGC4: Grundfos UV Schrittzahl Verstellweg x3;;GWG_Codierstecker_GWGC4~0x10C0;1
478;GWGC5: Grundfos UV Frequenz Verstellweg x3;;GWG_Codierstecker_GWGC5~0x10C0;1
479;GWGC6: Grundfos UV Schrittzahl Verstellweg x4;;GWG_Codierstecker_GWGC6~0x10C0;1
480;GWGC7: Grundfos UV Frequenz Verstellweg x4;;GWG_Codierstecker_GWGC7~0x10C0;1
481;GWGC8: Grundfos UV Schrittzahl Verstellweg x5;;GWG_Codierstecker_GWGC8~0x10C0;1
482;GWGC9: Grundfos UV Frequenz Verstellweg x5;;GWG_Codierstecker_GWGC9~0x10C0;1
483;GWGCA: Grundfos UV Position Heizen;;GWG_Codierstecker_GWGCA~0x10C0;1
484;GWG5D: Absolute Begrenzung max. Heizleistung;;GWG_Codierstecker_HZmaxLeistung~0x1050;1
